Player,height,Age,all_games,total_started,ppg,apg,rpg,FG%,FT%,3P%,All_Star
"J.J. Redick",6-4,32,78,78,15.0385,1.4103,2.1923076923076925,0.445,0.891,0.429,0
"Gary Harris",6-4,22,57,56,14.9298,2.8772,3.1228070175438596,0.502,0.776,0.42,0
"Serge Ibaka",6-10,27,79,79,14.8481,0.9494,6.810126582278481,0.48,0.856,0.391,0
"Jordan Clarkson",6-5,24,82,19,14.6951,2.5976,3,0.445,0.798,0.329,0
"Khris Middleton",6-8,25,29,23,14.6897,3.4138,4.241379310344827,0.45,0.88,0.433,0
"Nikola Vucevic",7-0,26,75,55,14.6133,2.7733,10.386666666666667,0.468,0.669,0.307,0
"Jeremy Lin",6-3,28,36,33,14.5278,5.1111,3.75,0.438,0.816,0.372,0
"Myles Turner",6-11,20,81,81,14.4815,1.3086,7.246913580246914,0.511,0.809,0.348,0
"Tim Hardaway",6-0,24,79,30,14.4684,2.3038,2.8354430379746836,0.455,0.766,0.357,0
"Tim Hardaway",6-6,24,79,30,14.4684,2.3038,2.8354430379746836,0.455,0.766,0.357,0
"Reggie Jackson",6-3,26,52,50,14.4615,5.1923,2.173076923076923,0.419,0.868,0.359,0
"T.J. Warren",6-8,23,66,59,14.4091,1.1364,5.136363636363637,0.495,0.773,0.265,0
"Enes Kanter",6-11,24,72,0,14.3472,0.9306,6.694444444444445,0.545,0.786,0.132,0
"Dirk Nowitzki",7-0,38,54,54,14.2407,1.5185,6.537037037037037,0.437,0.875,0.378,0
"Zach Randolph",6-9,35,73,5,14.0822,1.6712,8.191780821917808,0.449,0.731,0.223,0
"Jordan Crawford",6-4,28,19,0,14.0526,3.0000,1.7894736842105263,0.482,0.769,0.389,0
"Rudy Gobert",7-1,24,81,81,14.0370,1.1975,12.777777777777779,0.662,0.653,0,0
"Al Horford",6-10,30,68,68,14.0000,4.9559,6.823529411764706,0.473,0.8,0.355,1
"Marcus Morris",6-9,27,79,79,13.9873,2.0253,4.632911392405063,0.418,0.784,0.331,0
"Markieff Morris",6-10,27,76,76,13.9868,1.6579,6.473684210526316,0.457,0.837,0.362,0
